LAT,LON,YEAR,MO,DY,Relative Humidity,Temp Range,EarthSkin Temp,Dew Point,Wet Bulb Temp,Max Temp,Min Temp,Temp
6.79661,79.90081,2000,1,26,69.13,7.02,26.73,19.82,19.82,29.76,22.74,25.96
6.79661,79.90081,2000,1,27,71.46,6.52,27.12,20.74,20.74,29.68,23.16,26.36
6.79661,79.90081,2000,1,28,77.04,5.43,27.45,22.67,22.67,29.99,24.56,27.05
6.79661,79.90081,2000,1,29,78.28,5.38,27.54,23.17,23.17,30.31,24.94,27.31
6.79661,79.90081,2000,1,30,73.58,5.73,27.65,22.19,22.19,30.64,24.9,27.37
6.79661,79.90081,2000,1,31,68.53,6.45,27.56,20.49,20.49,30.28,23.84,26.82
6.79661,79.90081,2000,2,1,75.34,5.98,27.86,22.14,22.14,30.05,24.07,26.9
6.79661,79.90081,2000,2,2,82.55,4,27.53,23.64,23.64,29.27,25.27,26.87
6.79661,79.90081,2000,2,3,82.41,4.15,27.43,23.97,23.97,29.6,25.46,27.24
6.79661,79.90081,2000,2,4,87.37,2.32,26.82,24.28,24.28,27.94,25.62,26.54
6.79661,79.90081,2000,2,5,82.05,3.7,27.39,23.26,23.26,28.57,24.87,26.57
6.79661,79.90081,2000,2,6,82.99,2.82,26.86,22.97,22.97,27.77,24.95,26.07
6.79661,79.90081,2000,2,7,81.82,3.35,27.48,22.92,22.92,28.03,24.67,26.26
6.79661,79.90081,2000,2,8,81.47,2.49,27.51,23.09,23.09,27.92,25.43,26.5
6.79661,79.90081,2000,2,9,79.38,2.45,27.13,22.42,22.42,27.55,25.1,26.27
6.79661,79.90081,2000,2,10,73.87,4.22,27.53,21.74,21.74,29.12,24.91,26.81
6.79661,79.90081,2000,2,11,73.82,3.92,27.95,21.84,21.84,29.05,25.13,26.91
6.79661,79.90081,2000,2,12,74.15,3.9,28.13,21.83,21.83,28.84,24.94,26.84
6.79661,79.90081,2000,2,13,67.75,4.51,27.95,20.3,20.3,29.23,24.72,26.84
6.79661,79.90081,2000,2,14,75.87,4.39,28,21.81,21.81,28.74,24.35,26.42
6.79661,79.90081,2000,2,15,74.06,4.87,28.06,22.35,22.36,30.05,25.19,27.4
6.79661,79.90081,2000,2,16,72.58,5.54,27.88,21.9,21.9,30.18,24.64,27.28
6.79661,79.90081,2000,2,17,75.27,4.92,27.76,22.42,22.42,29.66,24.74,27.18
6.79661,79.90081,2000,2,18,77.95,3.76,27.59,22.64,22.64,28.95,25.19,26.8
6.79661,79.90081,2000,2,19,81.34,2.73,27.45,23.1,23.1,28.17,25.44,26.56
6.79661,79.90081,2000,2,20,78.9,3.45,27.71,22.93,22.93,28.94,25.49,26.96
6.79661,79.90081,2000,2,21,82.2,1.8,27.13,22.74,22.74,27.03,25.22,26.03
6.79661,79.90081,2000,2,22,77.05,3.56,28,22.18,22.18,28.43,24.86,26.53
6.79661,79.90081,2000,2,23,76.85,3.03,28.17,22.52,22.52,28.63,25.6,26.92
6.79661,79.90081,2000,2,24,78.82,2.01,27.36,22.29,22.29,27.44,25.43,26.29
6.79661,79.90081,2000,2,25,77.27,3.88,27.86,22.2,22.2,28.68,24.8,26.51
6.79661,79.90081,2000,2,26,73.49,4.4,28.54,21.66,21.66,29.28,24.88,26.8
6.79661,79.90081,2000,2,27,72.77,4.75,29.11,21.94,21.94,29.82,25.07,27.25
6.79661,79.90081,2000,2,28,73.11,4.26,29.09,22.35,22.35,29.79,25.53,27.6
6.79661,79.90081,2000,2,29,76.8,4.86,28.67,23.64,23.64,30.91,26.05,28.12
6.79661,79.90081,2000,3,1,72.89,5.9,28.49,22.61,22.61,31.29,25.39,27.95
6.79661,79.90081,2000,3,2,71.2,5.57,28.69,22.39,22.39,30.96,25.4,28.12
6.79661,79.90081,2000,3,3,73.83,4.24,28.53,22.86,22.86,30.14,25.9,27.98
6.79661,79.90081,2000,3,4,73.51,4.17,28.76,22.5,22.5,29.92,25.75,27.73
6.79661,79.90081,2000,3,5,74.25,3.96,28.65,22.56,22.56,29.77,25.81,27.6
6.79661,79.90081,2000,3,6,84.83,2.34,26.84,22.65,22.65,26.39,24.06,25.41
6.79661,79.90081,2000,3,7,81.76,3.03,27.52,23.06,23.06,27.88,24.85,26.44
6.79661,79.90081,2000,3,8,77.44,3.79,28.73,23.17,23.17,29.29,25.49,27.48
6.79661,79.90081,2000,3,9,82.42,2.12,28.55,24.08,24.08,28.5,26.38,27.34
6.79661,79.90081,2000,3,10,81.42,3.49,28.63,24.07,24.07,29.57,26.07,27.54
6.79661,79.90081,2000,3,11,76.23,3.87,29.01,23.2,23.2,30.01,26.15,27.78
6.79661,79.90081,2000,3,12,80.27,3.38,29.01,23.5,23.5,29.17,25.78,27.21
6.79661,79.90081,2000,3,13,80.54,3.71,29.4,23.71,23.71,29.26,25.55,27.36
6.79661,79.90081,2000,3,14,81.04,2.79,29.33,23.84,23.84,28.89,26.1,27.39
6.79661,79.90081,2000,3,15,79.65,2.98,29.49,23.74,23.74,29.23,26.25,27.59
6.79661,79.90081,2000,3,16,75.5,4.17,29.7,23.28,23.28,30.39,26.21,28.09
6.79661,79.90081,2000,3,17,76.13,2.98,29.52,23.35,23.35,29.68,26.7,27.97
6.79661,79.90081,2000,3,18,70.03,3.68,29.08,22.15,22.15,30.34,26.66,28.22
6.79661,79.90081,2000,3,19,66.91,4.04,29.18,21.28,21.28,30.3,26.27,28.06
6.79661,79.90081,2000,3,20,61.15,5.5,29.38,19.7,19.7,31.31,25.82,28.14
6.79661,79.90081,2000,3,21,67.43,4.96,29.66,21.17,21.17,30.58,25.62,27.88
6.79661,79.90081,2000,3,22,64.84,5.3,29.85,21.05,21.05,31.38,26.07,28.4
6.79661,79.90081,2000,3,23,74.7,4.16,29.24,22.39,22.39,29.92,25.76,27.33
6.79661,79.90081,2000,3,24,70.46,5.13,29.06,21.61,21.61,30.57,25.44,27.52
6.79661,79.90081,2000,3,25,70.11,4.78,29.5,21.66,21.66,30.27,25.5,27.63
6.79661,79.90081,2000,3,26,73.51,4.34,29.59,22.52,22.52,30.09,25.75,27.7
6.79661,79.90081,2000,3,27,76.83,3.13,28.99,23.18,23.18,29.33,26.2,27.63
6.79661,79.90081,2000,3,28,76.45,3.74,29.24,23.54,23.54,29.89,26.16,28.13
6.79661,79.90081,2000,3,29,76.65,3.82,29.17,23.58,23.58,30.27,26.45,28.1
6.79661,79.90081,2000,3,30,74.59,3.57,29.3,23.1,23.1,30.15,26.58,28.07
6.79661,79.90081,2000,3,31,77.9,3.02,28.71,23.48,23.48,29.45,26.43,27.71
6.79661,79.90081,2000,4,1,80.37,2.66,28.5,23.75,23.75,29.03,26.37,27.44
6.79661,79.90081,2000,4,2,78.71,2.42,28.5,23.52,23.52,28.88,26.47,27.55
6.79661,79.90081,2000,4,3,80.22,2.69,28.59,23.9,23.9,29.13,26.44,27.62
6.79661,79.90081,2000,4,4,79.89,2.95,28.66,23.81,23.81,29.38,26.42,27.63
6.79661,79.90081,2000,4,5,81.48,2.68,28.34,23.52,23.52,28.61,25.93,26.96
6.79661,79.90081,2000,4,6,88.09,1.95,27.55,24.35,24.35,27.74,25.79,26.47
6.79661,79.90081,2000,4,7,87.02,2.23,27.64,24.35,24.34,28.13,25.9,26.67
6.79661,79.90081,2000,4,8,82.99,2.61,28.01,23.76,23.76,28.2,25.59,26.88
6.79661,79.90081,2000,4,9,80.35,3.18,28.64,24,24,29.38,26.2,27.69
6.79661,79.90081,2000,4,10,82.33,2.93,28.83,24.77,24.77,29.66,26.73,28.06
6.79661,79.90081,2000,4,11,82.45,2.23,28.5,24.67,24.67,29.16,26.93,27.93
6.79661,79.90081,2000,4,12,79.82,2.56,28.74,24.23,24.23,29.47,26.91,28.04
6.79661,79.90081,2000,4,13,80.88,1.92,28.52,24.26,24.26,28.91,26.99,27.85
6.79661,79.90081,2000,4,14,79.66,2.9,29.11,24.35,24.35,29.8,26.9,28.2
6.79661,79.90081,2000,4,15,78.66,3.2,29.16,24.32,24.33,30.3,27.1,28.39
6.79661,79.90081,2000,4,16,76.94,3.87,29.4,24.08,24.08,30.77,26.9,28.54
6.79661,79.90081,2000,4,17,76.83,3.82,29.37,23.86,23.86,30.7,26.87,28.34
6.79661,79.90081,2000,4,18,78.54,3.42,29.51,24.1,24.1,30.17,26.75,28.2
6.79661,79.90081,2000,4,19,77.13,2.88,29.27,23.73,23.73,29.86,26.98,28.13
6.79661,79.90081,2000,4,20,81.96,2.5,28.96,24.28,24.28,29.11,26.62,27.66
6.79661,79.90081,2000,4,21,85.22,2.15,28.96,24.74,24.74,28.62,26.47,27.44
6.79661,79.90081,2000,4,22,83.41,1.87,28.79,24.69,24.69,28.94,27.07,27.76
6.79661,79.90081,2000,4,23,82.55,2.15,28.5,24.15,24.15,28.54,26.4,27.4
6.79661,79.90081,2000,4,24,78.37,3.02,28.53,23.58,23.58,29.25,26.23,27.69
6.79661,79.90081,2000,4,25,80.24,2.48,28.81,24.49,24.49,29.59,27.11,28.22
6.79661,79.90081,2000,4,26,81.42,2.31,28.74,24.82,24.82,29.71,27.39,28.3
6.79661,79.90081,2000,4,27,80.9,1.92,28.28,24.47,24.48,29.2,27.28,28.06
6.79661,79.90081,2000,4,28,78.16,3,28.87,24.18,24.18,30,27,28.35
6.79661,79.90081,2000,4,29,77.45,2.79,28.87,24.02,24.02,29.99,27.2,28.34
6.79661,79.90081,2000,4,30,80.8,3,28.62,24.57,24.57,29.94,26.93,28.18
6.79661,79.90081,2000,5,1,81.26,2.57,28.38,24.58,24.58,29.55,26.98,28.09
6.79661,79.90081,2000,5,2,82.08,2.21,28.17,24.62,24.62,29.26,27.05,27.96
6.79661,79.90081,2000,5,3,78.01,2.79,28.23,23.56,23.56,29.53,26.74,27.81
6.79661,79.90081,2000,5,4,82.83,2.94,28.18,24.46,24.46,29.43,26.49,27.68
6.79661,79.90081,2000,5,5,83.75,2.16,28.18,24.74,24.74,28.87,26.71,27.75
6.79661,79.90081,2000,5,6,82.54,1.89,28.12,24.73,24.73,29.05,27.16,27.98
6.79661,79.90081,2000,5,7,81.88,2.47,28.45,24.4,24.39,29.32,26.85,27.8
6.79661,79.90081,2000,5,8,80.18,3.5,29.03,24.35,24.35,30.02,26.52,28.11
6.79661,79.90081,2000,5,9,83.49,2.92,29.13,25.1,25.1,29.98,27.06,28.17
6.79661,79.90081,2000,5,10,83.55,3.06,28.95,24.94,24.94,29.73,26.67,28
6.79661,79.90081,2000,5,11,83.66,2.24,28.39,24.67,24.67,28.96,26.72,27.7
6.79661,79.90081,2000,5,12,80.4,2.5,28.38,23.82,23.82,28.74,26.24,27.49
6.79661,79.90081,2000,5,13,82.73,2.1,28.43,24.68,24.68,29.01,26.91,27.9
6.79661,79.90081,2000,5,14,82.52,2.01,28.61,24.93,24.93,29.32,27.31,28.19
6.79661,79.90081,2000,5,15,81.72,2.24,28.83,24.8,24.81,29.49,27.25,28.23
6.79661,79.90081,2000,5,16,81.01,2.56,29.26,24.82,24.82,29.88,27.32,28.41
6.79661,79.90081,2000,5,17,79.84,2.56,29.42,24.82,24.82,30.09,27.52,28.65
6.79661,79.90081,2000,5,18,79.5,2.35,29.34,24.71,24.71,30.09,27.74,28.62
6.79661,79.90081,2000,5,19,80.54,1.26,28.48,24.35,24.35,28.69,27.43,28.01
6.79661,79.90081,2000,5,20,81.72,1.7,28.37,24.52,24.52,28.82,27.12,27.94
6.79661,79.90081,2000,5,21,77.4,2.45,29.3,24.31,24.31,30.09,27.64,28.66
6.79661,79.90081,2000,5,22,76.17,2.96,29.43,24.28,24.28,30.55,27.59,28.91
6.79661,79.90081,2000,5,23,76.44,2.98,29.61,24.36,24.36,30.66,27.68,28.93
6.79661,79.90081,2000,5,24,78.91,2.89,29.28,24.53,24.53,30.21,27.32,28.55
6.79661,79.90081,2000,5,25,81.22,2.38,28.69,24.66,24.66,29.59,27.21,28.19
6.79661,79.90081,2000,5,26,83.14,1.77,28.17,24.16,24.16,28.53,26.76,27.28
6.79661,79.90081,2000,5,27,84.1,1.36,27.77,24.15,24.15,27.85,26.49,27.07
6.79661,79.90081,2000,5,28,83.97,1.79,27.68,23.93,23.93,27.69,25.9,26.88
6.79661,79.90081,2000,5,29,81.01,2.39,28.1,23.57,23.57,28.43,26.04,27.12
6.79661,79.90081,2000,5,30,80.62,2.28,27.96,23.65,23.65,28.58,26.3,27.27
6.79661,79.90081,2000,5,31,78.49,1.84,27.58,23.28,23.29,28.47,26.63,27.36
6.79661,79.90081,2000,6,1,77.55,1.92,27.79,23.07,23.07,28.39,26.47,27.34
6.79661,79.90081,2000,6,2,79.51,2.07,28.01,23.65,23.65,28.54,26.48,27.52
6.79661,79.90081,2000,6,3,81.21,1.48,27.74,24.1,24.09,28.44,26.96,27.61
6.79661,79.90081,2000,6,4,84.72,1.62,27.44,24.57,24.57,28.32,26.71,27.38
6.79661,79.90081,2000,6,5,87.68,1.67,27.11,24.9,24.9,28.09,26.42,27.12
6.79661,79.90081,2000,6,6,89.4,1.34,26.64,24.71,24.71,27.39,26.05,26.6
6.79661,79.90081,2000,6,7,88.77,1.85,26.86,24.59,24.59,27.79,25.94,26.6
6.79661,79.90081,2000,6,8,87.3,2.8,26.97,24.06,24.06,27.71,24.91,26.35
6.79661,79.90081,2000,6,9,85.23,3.5,26.95,23.11,23.11,27.42,23.91,25.8
6.79661,79.90081,2000,6,10,88.39,1.72,26.89,24.32,24.32,27.51,25.79,26.39
6.79661,79.90081,2000,6,11,89.14,1.59,26.14,24.09,24.09,26.97,25.38,26.01
6.79661,79.90081,2000,6,12,88.97,1.26,25.84,23.87,23.87,26.53,25.27,25.82
6.79661,79.90081,2000,6,13,89.48,1.44,25.7,23.82,23.82,26.48,25.05,25.68
6.79661,79.90081,2000,6,14,90.28,1.9,25.84,24.01,24.01,26.81,24.91,25.72
6.79661,79.90081,2000,6,15,88.53,2.28,26.21,23.84,23.85,27.14,24.86,25.89
6.79661,79.90081,2000,6,16,86.53,2.37,26.74,23.97,23.97,27.69,25.33,26.4
6.79661,79.90081,2000,6,17,85.4,1.75,26.7,23.79,23.79,27.53,25.78,26.44
6.79661,79.90081,2000,6,18,83.7,2.13,26.93,23.62,23.62,27.77,25.64,26.61
6.79661,79.90081,2000,6,19,86.26,2.08,26.91,24.2,24.2,27.75,25.67,26.69
6.79661,79.90081,2000,6,20,86.06,2.66,27.16,24.28,24.28,28.33,25.66,26.81
6.79661,79.90081,2000,6,21,87.03,2.03,27.05,24.5,24.5,28.07,26.04,26.83
6.79661,79.90081,2000,6,22,89.02,1.33,26.9,24.75,24.75,27.47,26.14,26.71
6.79661,79.90081,2000,6,23,86.15,1.56,27.01,24.15,24.15,27.62,26.06,26.65
6.79661,79.90081,2000,6,24,84.65,1.62,26.75,23.74,23.74,27.45,25.83,26.53
6.79661,79.90081,2000,6,25,83.83,1.74,26.57,23.54,23.54,27.54,25.8,26.49
6.79661,79.90081,2000,6,26,83.23,2.41,26.79,23.43,23.43,27.92,25.51,26.52
6.79661,79.90081,2000,6,27,86.86,0.98,25.94,23.3,23.3,26.19,25.21,25.66
6.79661,79.90081,2000,6,28,84.65,1.63,26.25,23.16,23.16,26.86,25.23,25.94
6.79661,79.90081,2000,6,29,85.72,1.8,26.79,23.59,23.59,27.12,25.32,26.17
6.79661,79.90081,2000,6,30,84.36,1.45,26.56,23.35,23.35,27.03,25.57,26.2
6.79661,79.90081,2000,7,1,83.74,2.04,26.87,23.31,23.31,27.46,25.41,26.28
6.79661,79.90081,2000,7,2,82.73,2,27.06,23.45,23.45,27.73,25.73,26.63
6.79661,79.90081,2000,7,3,82.09,2.3,26.75,23.15,23.15,27.87,25.57,26.46
6.79661,79.90081,2000,7,4,84.99,2.4,26.35,23.51,23.51,27.56,25.16,26.24
6.79661,79.90081,2000,7,5,85.98,1.87,26.48,23.75,23.75,27.4,25.53,26.28
6.79661,79.90081,2000,7,6,85.83,1.98,26.55,23.84,23.84,27.57,25.59,26.4
6.79661,79.90081,2000,7,7,86.61,1.97,26.65,24.17,24.17,27.72,25.76,26.58
6.79661,79.90081,2000,7,8,85.95,1.78,26.58,23.82,23.82,27.31,25.54,26.37
6.79661,79.90081,2000,7,9,86.35,2.88,26.62,23.86,23.86,28.04,25.16,26.35
6.79661,79.90081,2000,7,10,88.01,2.39,26.51,24.14,24.14,27.61,25.22,26.29
6.79661,79.90081,2000,7,11,86.45,2.36,26.34,23.74,23.74,27.55,25.19,26.18
6.79661,79.90081,2000,7,12,83.86,3.11,27.16,23.71,23.71,28.32,25.21,26.67
6.79661,79.90081,2000,7,13,80.02,3,27.3,22.99,22.99,28.58,25.58,26.78
6.79661,79.90081,2000,7,14,83.25,3.65,27.72,23.79,23.79,28.8,25.14,26.89
6.79661,79.90081,2000,7,15,82.1,3.2,27.87,23.76,23.76,28.93,25.73,27.1
6.79661,79.90081,2000,7,16,80.62,2.36,27.77,23.6,23.6,28.57,26.21,27.23
6.79661,79.90081,2000,7,17,84.06,2.49,27.57,24.04,24.04,28.29,25.8,26.97
6.79661,79.90081,2000,7,18,84.83,2.33,27.25,23.95,23.95,28.19,25.86,26.74
6.79661,79.90081,2000,7,19,81.22,3.2,27.62,23.32,23.32,28.67,25.47,26.83
6.79661,79.90081,2000,7,20,81.62,3.21,27.54,23.49,23.49,28.72,25.52,26.91
6.79661,79.90081,2000,7,21,80.66,3.52,27.76,23.36,23.36,29.04,25.52,26.99
6.79661,79.90081,2000,7,22,77.72,3.22,27.64,22.84,22.84,28.99,25.77,27.08
6.79661,79.90081,2000,7,23,80.1,3.24,27.7,23.23,23.23,28.64,25.4,26.95
6.79661,79.90081,2000,7,24,79.96,2,27.3,23.22,23.22,28.12,26.12,26.97
6.79661,79.90081,2000,7,25,78.66,2.75,27.49,23,23,28.78,26.03,27.03
6.79661,79.90081,2000,7,26,81.86,2.71,27.61,23.34,23.34,28.38,25.67,26.72
6.79661,79.90081,2000,7,27,81.92,2.75,27.69,23.51,23.51,28.49,25.74,26.87
6.79661,79.90081,2000,7,28,82.27,1.87,27.07,23.28,23.28,27.6,25.74,26.55
6.79661,79.90081,2000,7,29,82.81,2.07,27.07,23.44,23.44,27.9,25.84,26.6
6.79661,79.90081,2000,7,30,85.96,1.44,26.46,23.72,23.72,27.09,25.65,26.24
6.79661,79.90081,2000,7,31,85.54,1.72,26.45,23.42,23.42,26.98,25.26,26.02
6.79661,79.90081,2000,8,1,85.49,1.49,26.42,23.19,23.19,26.72,25.23,25.79
6.79661,79.90081,2000,8,2,85.14,2.02,26.72,23.4,23.4,27.23,25.22,26.07
6.79661,79.90081,2000,8,3,85.49,1.78,26.43,23.52,23.52,27.22,25.44,26.13
6.79661,79.90081,2000,8,4,86.05,2.13,26.62,23.58,23.58,27.28,25.15,26.08
6.79661,79.90081,2000,8,5,87.07,1.85,26.58,23.88,23.88,27.18,25.33,26.19
6.79661,79.90081,2000,8,6,85.31,1.59,26.74,23.71,23.71,27.35,25.76,26.37
6.79661,79.90081,2000,8,7,82.64,1.83,26.81,23.23,23.23,27.5,25.68,26.42
6.79661,79.90081,2000,8,8,83.11,2.16,26.68,23.23,23.23,27.56,25.4,26.33
6.79661,79.90081,2000,8,9,83.92,1.99,26.15,23.08,23.08,27.1,25.11,26
6.79661,79.90081,2000,8,10,84.26,1.89,26.19,22.89,22.89,26.84,24.94,25.74
6.79661,79.90081,2000,8,11,83.12,2.81,26.91,23.3,23.3,27.89,25.08,26.4
6.79661,79.90081,2000,8,12,80.88,2.81,27.47,23.42,23.42,28.58,25.77,26.98
6.79661,79.90081,2000,8,13,82.89,2.05,27.21,23.29,23.29,27.49,25.44,26.43
6.79661,79.90081,2000,8,14,85.13,1.68,26.75,22.89,22.89,26.55,24.86,25.56
6.79661,79.90081,2000,8,15,86.61,2.07,26.94,23.41,23.41,26.89,24.82,25.8
6.79661,79.90081,2000,8,16,83.67,2.6,27.5,23.4,23.4,27.79,25.19,26.39
6.79661,79.90081,2000,8,17,83.72,2.2,27.47,23.61,23.61,27.79,25.59,26.58
6.79661,79.90081,2000,8,18,82.75,1.9,27.12,23.55,23.54,27.7,25.8,26.72
6.79661,79.90081,2000,8,19,82.21,1.63,26.93,23.13,23.13,27.29,25.66,26.41
6.79661,79.90081,2000,8,20,81.94,2.25,27.2,23.45,23.45,27.95,25.7,26.79
6.79661,79.90081,2000,8,21,82.47,2.25,27.38,23.79,23.79,28.3,26.06,27.03
6.79661,79.90081,2000,8,22,83.48,1.99,27.06,23.93,23.93,28.14,26.15,26.96
6.79661,79.90081,2000,8,23,85.09,1.7,26.96,24.35,24.35,28.01,26.3,27.06
6.79661,79.90081,2000,8,24,83.95,2.34,26.76,23.9,23.9,28.02,25.68,26.83
6.79661,79.90081,2000,8,25,86.2,1.8,26.59,23.87,23.87,27.25,25.44,26.35
6.79661,79.90081,2000,8,26,87.06,1.24,26.52,24.07,24.07,27.11,25.87,26.39
6.79661,79.90081,2000,8,27,88.26,1.6,26.35,23.96,23.96,26.91,25.31,26.04
6.79661,79.90081,2000,8,28,86.85,1.73,26.27,23.38,23.38,26.8,25.07,25.73
6.79661,79.90081,2000,8,29,86.4,2.14,26.6,23.67,23.67,27.2,25.06,26.11
6.79661,79.90081,2000,8,30,87.07,2.35,26.7,23.86,23.86,27.48,25.13,26.18
6.79661,79.90081,2000,8,31,86.28,2.53,27.16,23.9,23.9,27.79,25.26,26.37
6.79661,79.90081,2000,9,1,83.84,2.39,27.13,23.69,23.69,27.92,25.53,26.64
6.79661,79.90081,2000,9,2,83.48,2.65,27.39,23.83,23.83,28.42,25.77,26.86
6.79661,79.90081,2000,9,3,82.61,2.77,27.53,23.78,23.78,28.63,25.87,27
6.79661,79.90081,2000,9,4,82.05,2.54,27.53,23.74,23.74,28.52,25.98,27.06
6.79661,79.90081,2000,9,5,83.34,2.42,27.5,23.86,23.86,28.3,25.88,26.91
6.79661,79.90081,2000,9,6,84.85,2.35,27.41,24.19,24.19,28.25,25.91,26.95
6.79661,79.90081,2000,9,7,85.37,2.23,27.51,24.28,24.28,28.25,26.02,26.93
6.79661,79.90081,2000,9,8,82.08,3.12,28.07,23.76,23.76,28.74,25.62,27.09
6.79661,79.90081,2000,9,9,81.13,1.99,27.86,23.58,23.58,28.15,26.15,27.09
6.79661,79.90081,2000,9,10,82.14,1.83,27.64,23.83,23.83,28.13,26.3,27.13
6.79661,79.90081,2000,9,11,82.48,1.7,27.56,23.8,23.8,28.01,26.31,27.04
6.79661,79.90081,2000,9,12,81.45,2.33,27.78,23.63,23.63,28.49,26.16,27.08
6.79661,79.90081,2000,9,13,82.29,2.47,27.57,23.53,23.53,28.14,25.66,26.79
6.79661,79.90081,2000,9,14,83.59,2.16,27.16,23.68,23.68,27.97,25.81,26.68
6.79661,79.90081,2000,9,15,84.62,2.27,26.94,23.48,23.48,27.55,25.28,26.27
6.79661,79.90081,2000,9,16,84.77,1.71,26.47,23.55,23.55,27.18,25.47,26.3
6.79661,79.90081,2000,9,17,81.69,2.15,26.99,23.44,23.44,28.1,25.94,26.83
6.79661,79.90081,2000,9,18,85.15,1.75,26.67,23.94,23.93,27.69,25.94,26.62
6.79661,79.90081,2000,9,19,86.12,1.98,26.79,24.11,24.11,27.8,25.82,26.61
6.79661,79.90081,2000,9,20,86.79,1.53,26.69,24.12,24.11,27.51,25.98,26.49
6.79661,79.90081,2000,9,21,86.98,1.19,26.33,23.79,23.79,26.87,25.68,26.12
6.79661,79.90081,2000,9,22,86.91,1.96,26.53,23.93,23.93,27.44,25.48,26.27
6.79661,79.90081,2000,9,23,89.05,1.49,26.34,24.16,24.16,26.86,25.37,26.1
6.79661,79.90081,2000,9,24,89.07,1.91,26.59,23.9,23.9,26.77,24.86,25.83
6.79661,79.90081,2000,9,25,87.68,2.59,26.83,24.15,24.15,27.75,25.16,26.34
6.79661,79.90081,2000,9,26,85.55,1.65,26.71,23.76,23.76,27.36,25.71,26.36
6.79661,79.90081,2000,9,27,84.64,2.09,27.3,23.9,23.9,27.93,25.84,26.69
6.79661,79.90081,2000,9,28,84.17,2.21,27.41,23.64,23.64,27.8,25.59,26.53
6.79661,79.90081,2000,9,29,86.07,2.46,27.58,23.86,23.86,27.8,25.35,26.38
6.79661,79.90081,2000,9,30,87.06,1.92,27.11,23.69,23.69,27.12,25.21,26.01
6.79661,79.90081,2000,10,1,84.93,1.95,27.07,23.06,23.06,26.85,24.9,25.78
6.79661,79.90081,2000,10,2,83.76,2.16,27.19,23.29,23.29,27.58,25.42,26.25
6.79661,79.90081,2000,10,3,80.76,2.44,27.11,22.61,22.61,27.49,25.05,26.17
6.79661,79.90081,2000,10,4,85.39,2.01,26.93,23.53,23.53,27.23,25.22,26.17
6.79661,79.90081,2000,10,5,87.2,1.33,26.59,23.44,23.44,26.52,25.2,25.72
6.79661,79.90081,2000,10,6,88.44,1.15,26.5,23.59,23.59,26.32,25.17,25.63
6.79661,79.90081,2000,10,7,84.67,2.31,26.85,23.36,23.36,27.24,24.93,26.14
6.79661,79.90081,2000,10,8,83.49,2.23,27.24,23.64,23.64,27.93,25.7,26.66
6.79661,79.90081,2000,10,9,85.13,2.54,27.5,24.06,24.06,28.11,25.57,26.76
